,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter
0,2021,1,Birnin-Gwari,Male,0,2,1,0,4,5,2,5,19,2021 Q1
1,2021,1,Birnin-Gwari,Female,0,0,1,3,2,0,0,4,10,2021 Q1
2,2021,2,Birnin-Gwari,Male,0,1,6,3,7,12,12,9,50,2021 Q2
3,2021,2,Birnin-Gwari,Female,0,0,2,6,4,4,5,4,25,2021 Q2
4,2021,3,Birnin-Gwari,Male,0,0,1,5,6,7,1,14,34,2021 Q3
5,2021,3,Birnin-Gwari,Female,0,0,2,2,3,3,0,6,16,2021 Q3
6,2021,4,Birnin-Gwari,Male,0,0,2,5,12,12,11,17,59,2021 Q4
7,2021,4,Birnin-Gwari,Female,0,0,7,3,9,9,9,9,46,2021 Q4
8,2021,1,Chikun,Male,0,0,8,13,25,10,5,1,62,2021 Q1
9,2021,1,Chikun,Female,0,0,8,6,6,4,5,4,33,2021 Q1
10,2021,2,Chikun,Male,0,1,11,24,29,21,8,2,96,2021 Q2
11,2021,2,Chikun,Female,0,0,5,7,6,5,3,1,27,2021 Q2
12,2021,3,Chikun,Male,0,2,16,20,39,23,5,6,111,2021 Q3
13,2021,3,Chikun,Female,0,0,8,11,11,5,1,0,36,2021 Q3
14,2021,4,Chikun,Male,0,2,34,70,72,36,7,4,225,2021 Q4
15,2021,4,Chikun,Female,0,0,33,46,26,7,2,0,114,2021 Q4
16,2021,1,Giwa,Male,9,6,3,10,7,3,4,2,44,2021 Q1
17,2021,1,Giwa,Female,6,6,2,2,5,4,1,1,27,2021 Q1
18,2021,2,Giwa,Male,11,8,3,11,10,16,15,5,79,2021 Q2
19,2021,2,Giwa,Female,6,5,6,14,9,10,3,4,57,2021 Q2
20,2021,3,Giwa,Male,7,4,13,39,30,15,11,6,125,2021 Q3
21,2021,3,Giwa,Female,3,6,17,39,19,11,9,4,108,2021 Q3
22,2021,4,Giwa,Male,8,4,73,113,37,15,5,4,259,2021 Q4
23,2021,4,Giwa,Female,2,5,96,110,21,13,4,2,253,2021 Q4
24,2021,1,Igabi,Male,0,0,11,29,12,10,2,3,67,2021 Q1
25,2021,1,Igabi,Female,0,1,11,12,5,3,0,1,33,2021 Q1
26,2021,2,Igabi,Male,2,1,8,26,6,8,1,3,55,2021 Q2
27,2021,2,Igabi,Female,2,2,13,7,6,3,0,1,34,2021 Q2
28,2021,3,Igabi,Male,1,4,12,19,11,9,2,5,63,2021 Q3
29,2021,3,Igabi,Female,2,5,11,17,5,1,4,1,46,2021 Q3
30,2021,4,Igabi,Male,3,0,34,47,21,14,9,2,130,2021 Q4
31,2021,4,Igabi,Female,1,2,11,24,13,6,4,0,61,2021 Q4
32,2021,1,Ikara,Male,0,0,2,6,1,0,1,0,10,2021 Q1
33,2021,1,Ikara,Female,0,0,2,2,1,1,2,1,9,2021 Q1
34,2021,2,Ikara,Male,0,2,2,5,0,5,1,0,15,2021 Q2
35,2021,2,Ikara,Female,0,3,1,3,3,1,0,0,11,2021 Q2
36,2021,3,Ikara,Male,0,0,3,5,5,4,1,2,20,2021 Q3
37,2021,3,Ikara,Female,0,2,2,3,0,1,1,0,9,2021 Q3
38,2021,4,Ikara,Male,3,1,2,5,4,3,1,1,20,2021 Q4
39,2021,4,Ikara,Female,4,1,1,5,2,1,0,2,16,2021 Q4
40,2021,1,Jaba,Male,0,1,0,5,6,3,4,1,20,2021 Q1
41,2021,1,Jaba,Female,0,0,0,0,2,0,0,1,3,2021 Q1
42,2021,2,Jaba,Male,0,0,2,1,11,5,1,1,21,2021 Q2
43,2021,2,Jaba,Female,0,0,1,0,2,0,0,0,3,2021 Q2
44,2021,3,Jaba,Male,0,0,0,3,10,4,0,3,20,2021 Q3
45,2021,3,Jaba,Female,0,0,1,2,1,0,0,1,5,2021 Q3
46,2021,4,Jaba,Male,0,0,2,1,3,5,3,1,15,2021 Q4
47,2021,4,Jaba,Female,0,0,0,0,1,2,0,0,3,2021 Q4
48,2021,1,Jema'a,Male,0,0,2,6,17,12,7,0,44,2021 Q1
49,2021,1,Jema'a,Female,0,1,1,3,3,5,4,0,17,2021 Q1
50,2021,2,Jema'a,Male,0,0,7,10,9,18,9,4,57,2021 Q2
51,2021,2,Jema'a,Female,0,0,4,9,9,11,0,0,33,2021 Q2
52,2021,3,Jema'a,Male,0,0,4,19,22,17,6,6,74,2021 Q3
53,2021,3,Jema'a,Female,0,0,5,17,12,7,3,1,45,2021 Q3
54,2021,4,Jema'a,Male,0,0,7,18,27,11,13,2,78,2021 Q4
55,2021,4,Jema'a,Female,0,0,11,18,10,4,9,2,54,2021 Q4
56,2021,1,Kachia,Male,0,0,3,16,24,34,13,5,95,2021 Q1
57,2021,1,Kachia,Female,0,0,4,14,30,16,14,3,81,2021 Q1
58,2021,2,Kachia,Male,0,0,8,22,34,36,26,17,143,2021 Q2
59,2021,2,Kachia,Female,0,0,4,24,29,24,24,11,116,2021 Q2
60,2021,3,Kachia,Male,0,1,1,21,32,38,28,6,127,2021 Q3
61,2021,3,Kachia,Female,0,1,8,25,21,19,8,4,86,2021 Q3
62,2021,4,Kachia,Male,0,0,13,28,41,35,43,35,195,2021 Q4
63,2021,4,Kachia,Female,0,0,1,29,22,9,16,12,89,2021 Q4
64,2021,1,Kaduna North,Male,6,5,40,58,59,11,9,13,201,2021 Q1
65,2021,1,Kaduna North,Female,5,7,39,50,32,14,9,2,158,2021 Q1
66,2021,2,Kaduna North,Male,4,8,47,62,47,15,12,9,204,2021 Q2
67,2021,2,Kaduna North,Female,1,6,45,61,37,9,7,3,169,2021 Q2
68,2021,3,Kaduna North,Male,4,8,50,80,49,17,9,7,224,2021 Q3
69,2021,3,Kaduna North,Female,3,9,62,48,27,18,8,5,180,2021 Q3
70,2021,4,Kaduna North,Male,3,6,16,71,86,57,16,9,264,2021 Q4
71,2021,4,Kaduna North,Female,2,4,24,58,72,47,14,3,224,2021 Q4
72,2021,1,Kaduna South,Male,6,9,34,53,49,15,10,12,188,2021 Q1
73,2021,1,Kaduna South,Female,1,7,30,25,20,7,5,9,104,2021 Q1
74,2021,2,Kaduna South,Male,3,8,28,43,42,20,7,7,158,2021 Q2
75,2021,2,Kaduna South,Female,3,1,26,15,18,12,6,10,91,2021 Q2
76,2021,3,Kaduna South,Male,3,3,30,47,44,20,14,11,172,2021 Q3
77,2021,3,Kaduna South,Female,1,3,24,18,17,9,2,7,81,2021 Q3
78,2021,4,Kaduna South,Male,1,8,37,40,44,33,12,12,187,2021 Q4
79,2021,4,Kaduna South,Female,1,4,32,25,17,9,5,5,98,2021 Q4
80,2021,1,Kagarko,Male,0,1,0,3,1,1,0,0,6,2021 Q1
81,2021,1,Kagarko,Female,0,2,2,3,0,2,2,3,14,2021 Q1
82,2021,2,Kagarko,Male,0,1,0,2,3,1,0,1,8,2021 Q2
83,2021,2,Kagarko,Female,0,0,1,4,4,1,0,0,10,2021 Q2
84,2021,3,Kagarko,Male,0,0,5,5,10,4,3,1,28,2021 Q3
85,2021,3,Kagarko,Female,0,1,1,2,0,0,0,0,4,2021 Q3
86,2021,4,Kagarko,Male,0,0,1,3,4,1,0,0,9,2021 Q4
87,2021,4,Kagarko,Female,0,0,5,4,0,2,0,0,11,2021 Q4
88,2021,1,Kajuru,Male,0,1,1,6,8,3,1,1,21,2021 Q1
89,2021,1,Kajuru,Female,0,0,3,3,4,3,0,0,13,2021 Q1
90,2021,2,Kajuru,Male,0,0,8,10,11,7,7,1,44,2021 Q2
91,2021,2,Kajuru,Female,0,1,8,25,9,1,2,0,46,2021 Q2
92,2021,3,Kajuru,Male,0,0,4,21,18,12,4,1,60,2021 Q3
93,2021,3,Kajuru,Female,0,0,4,24,11,3,3,0,45,2021 Q3
94,2021,4,Kajuru,Male,0,0,25,33,18,12,2,1,91,2021 Q4
95,2021,4,Kajuru,Female,0,0,15,11,8,8,3,0,45,2021 Q4
96,2021,1,Kaura,Male,0,0,1,3,11,6,3,4,28,2021 Q1
97,2021,1,Kaura,Female,0,0,1,0,3,4,1,3,12,2021 Q1
98,2021,2,Kaura,Male,0,0,3,2,6,2,2,2,17,2021 Q2
99,2021,2,Kaura,Female,0,0,0,1,0,2,2,2,7,2021 Q2
100,2021,3,Kaura,Male,0,0,0,1,5,3,0,0,9,2021 Q3
101,2021,3,Kaura,Female,0,0,0,1,1,1,0,0,3,2021 Q3
102,2021,4,Kaura,Male,0,0,1,3,8,4,2,2,20,2021 Q4
103,2021,4,Kaura,Female,0,0,0,1,2,1,1,0,5,2021 Q4
104,2021,1,Kauru,Male,1,0,0,43,46,0,1,1,92,2021 Q1
105,2021,1,Kauru,Female,0,0,0,9,12,0,0,0,21,2021 Q1
106,2021,2,Kauru,Male,0,0,0,56,30,25,6,0,117,2021 Q2
107,2021,2,Kauru,Female,0,0,0,15,15,10,10,0,50,2021 Q2
108,2021,3,Kauru,Male,0,1,15,32,36,16,13,18,131,2021 Q3
109,2021,3,Kauru,Female,0,0,10,15,25,13,1,4,68,2021 Q3
110,2021,4,Kauru,Male,3,0,20,35,40,45,27,0,170,2021 Q4
111,2021,4,Kauru,Female,0,0,10,27,20,25,33,0,115,2021 Q4
112,2021,1,Kubau,Male,0,0,3,7,8,6,2,1,27,2021 Q1
113,2021,1,Kubau,Female,0,0,2,4,3,2,0,1,12,2021 Q1
114,2021,2,Kubau,Male,0,0,2,9,9,4,1,0,25,2021 Q2
115,2021,2,Kubau,Female,0,1,3,8,1,3,2,0,18,2021 Q2
116,2021,3,Kubau,Male,0,0,6,5,4,2,7,0,24,2021 Q3
117,2021,3,Kubau,Female,0,1,2,5,6,2,2,0,18,2021 Q3
118,2021,4,Kubau,Male,0,1,2,11,10,10,2,4,40,2021 Q4
119,2021,4,Kubau,Female,0,2,1,1,3,8,6,1,22,2021 Q4
120,2021,1,Kudan,Male,0,0,5,3,3,1,2,0,14,2021 Q1
121,2021,1,Kudan,Female,0,0,1,2,2,2,0,0,7,2021 Q1
122,2021,2,Kudan,Male,0,0,3,2,2,3,2,0,12,2021 Q2
123,2021,2,Kudan,Female,0,1,0,3,4,3,0,0,11,2021 Q2
124,2021,3,Kudan,Male,0,0,6,2,3,5,4,0,20,2021 Q3
125,2021,3,Kudan,Female,0,0,0,5,4,3,0,0,12,2021 Q3
126,2021,4,Kudan,Male,1,0,2,10,4,5,1,0,23,2021 Q4
127,2021,4,Kudan,Female,0,1,2,3,3,4,0,0,13,2021 Q4
128,2021,1,Lere,Male,0,0,4,9,10,7,3,3,36,2021 Q1
129,2021,1,Lere,Female,0,0,1,5,6,1,0,0,13,2021 Q1
130,2021,2,Lere,Male,0,1,5,10,7,10,2,2,37,2021 Q2
131,2021,2,Lere,Female,0,1,3,3,4,3,3,3,20,2021 Q2
132,2021,3,Lere,Male,0,2,3,9,3,8,2,1,28,2021 Q3
133,2021,3,Lere,Female,0,0,2,3,8,1,2,0,16,2021 Q3
134,2021,4,Lere,Male,0,2,5,12,8,5,4,2,38,2021 Q4
135,2021,4,Lere,Female,0,2,0,4,8,1,4,1,20,2021 Q4
136,2021,1,Markafi,Male,1,0,5,11,6,4,4,5,36,2021 Q1
137,2021,1,Markafi,Female,0,2,4,5,3,2,3,3,22,2021 Q1
138,2021,2,Markafi,Male,1,0,7,9,7,3,3,6,36,2021 Q2
139,2021,2,Markafi,Female,1,3,1,5,5,6,2,1,24,2021 Q2
140,2021,3,Markafi,Male,2,1,4,11,7,7,4,10,46,2021 Q3
141,2021,3,Markafi,Female,0,1,2,10,4,5,0,2,24,2021 Q3
142,2021,4,Markafi,Male,2,1,3,8,5,5,6,14,44,2021 Q4
143,2021,4,Markafi,Female,2,2,7,13,7,6,6,4,47,2021 Q4
144,2021,1,Sabon-Gari,Male,0,1,8,12,4,7,3,1,36,2021 Q1
145,2021,1,Sabon-Gari,Female,0,0,12,2,6,4,3,3,30,2021 Q1
146,2021,2,Sabon-Gari,Male,1,0,13,8,12,5,5,2,46,2021 Q2
147,2021,2,Sabon-Gari,Female,0,1,15,11,4,3,1,1,36,2021 Q2
148,2021,3,Sabon-Gari,Male,2,2,22,21,13,2,1,4,67,2021 Q3
149,2021,3,Sabon-Gari,Female,0,2,23,8,5,1,1,0,40,2021 Q3
150,2021,4,Sabon-Gari,Male,0,0,21,22,16,12,8,5,84,2021 Q4
151,2021,4,Sabon-Gari,Female,0,2,12,8,7,3,1,2,35,2021 Q4
152,2021,1,Sanga,Male,0,2,0,7,2,2,3,3,19,2021 Q1
153,2021,1,Sanga,Female,0,0,2,3,2,0,0,2,9,2021 Q1
154,2021,2,Sanga,Male,0,2,1,3,5,3,2,2,18,2021 Q2
155,2021,2,Sanga,Female,0,0,2,2,1,0,1,1,7,2021 Q2
156,2021,3,Sanga,Male,0,0,1,2,1,5,1,1,11,2021 Q3
157,2021,3,Sanga,Female,0,1,0,3,4,0,1,2,11,2021 Q3
158,2021,4,Sanga,Male,0,0,2,1,4,4,0,1,12,2021 Q4
159,2021,4,Sanga,Female,0,0,0,0,3,0,3,2,8,2021 Q4
160,2021,1,Soba,Male,0,0,1,3,3,3,3,2,15,2021 Q1
161,2021,1,Soba,Female,0,0,4,8,5,7,4,0,28,2021 Q1
162,2021,2,Soba,Male,0,1,8,4,2,6,3,1,25,2021 Q2
163,2021,2,Soba,Female,1,0,7,8,7,6,1,0,30,2021 Q2
164,2021,3,Soba,Male,0,1,0,7,6,5,3,0,22,2021 Q3
165,2021,3,Soba,Female,1,1,1,13,10,2,2,2,32,2021 Q3
166,2021,4,Soba,Male,1,1,1,7,9,4,1,2,26,2021 Q4
167,2021,4,Soba,Female,0,0,3,6,4,2,2,2,19,2021 Q4
168,2021,1,Zango-Kataf,Male,0,0,0,7,9,8,3,3,30,2021 Q1
169,2021,1,Zango-Kataf,Female,0,0,3,3,3,5,4,8,26,2021 Q1
170,2021,2,Zango-Kataf,Male,0,0,3,7,10,11,8,4,43,2021 Q2
171,2021,2,Zango-Kataf,Female,0,0,1,6,5,4,2,1,19,2021 Q2
172,2021,3,Zango-Kataf,Male,0,0,1,5,6,11,9,2,34,2021 Q3
173,2021,3,Zango-Kataf,Female,0,0,1,3,7,4,2,2,19,2021 Q3
174,2021,4,Zango-Kataf,Male,0,0,1,2,11,15,6,3,38,2021 Q4
175,2021,4,Zango-Kataf,Female,0,0,1,9,8,5,0,3,26,2021 Q4
176,2021,1,Zaria,Male,1,1,24,36,21,14,8,3,108,2021 Q1
177,2021,1,Zaria,Female,0,2,27,21,14,8,5,4,81,2021 Q1
178,2021,2,Zaria,Male,0,2,44,62,28,13,9,6,164,2021 Q2
179,2021,2,Zaria,Female,0,4,33,47,19,7,3,1,114,2021 Q2
180,2021,3,Zaria,Male,0,2,64,62,30,24,4,9,195,2021 Q3
181,2021,3,Zaria,Female,0,5,54,58,25,11,5,4,162,2021 Q3
182,2021,4,Zaria,Male,0,3,79,101,44,20,8,5,260,2021 Q4
183,2021,4,Zaria,Female,0,2,76,46,22,11,7,6,170,2021 Q4
184,2022,1,Birnin-Gwari,Male,0,0,7,16,18,11,11,15,78,2022 Q1
185,2022,1,Birnin-Gwari,Female,0,0,2,14,8,9,6,3,42,2022 Q1
186,2022,2,Birnin-Gwari,Male,0,0,3,13,3,10,22,14,65,2022 Q2
187,2022,2,Birnin-Gwari,Female,0,0,1,6,7,16,8,6,44,2022 Q2
188,2022,3,Birnin-Gwari,Male,0,0,5,8,6,8,8,15,50,2022 Q3
189,2022,3,Birnin-Gwari,Female,0,1,3,7,7,11,9,15,53,2022 Q3
190,2022,4,Birnin-Gwari,Male,2,2,12,7,8,13,10,14,68,2022 Q4
191,2022,4,Birnin-Gwari,Female,1,5,4,14,14,13,15,12,78,2022 Q4
192,2022,1,Chikun,Male,0,0,12,25,95,32,30,0,194,2022 Q1
193,2022,1,Chikun,Female,1,1,6,18,63,29,7,0,125,2022 Q1
194,2022,2,Chikun,Male,0,0,25,43,48,27,15,3,161,2022 Q2
195,2022,2,Chikun,Female,1,3,23,19,21,7,5,3,82,2022 Q2
196,2022,3,Chikun,Male,2,3,27,75,75,39,24,9,254,2022 Q3
197,2022,3,Chikun,Female,2,3,18,35,38,17,6,3,122,2022 Q3
198,2022,4,Chikun,Male,1,5,29,95,94,52,11,5,292,2022 Q4
199,2022,4,Chikun,Female,1,4,20,54,52,23,8,3,165,2022 Q4
200,2022,1,Giwa,Male,5,9,82,144,34,6,2,2,284,2022 Q1
201,2022,1,Giwa,Female,3,2,98,110,21,3,1,1,239,2022 Q1
202,2022,2,Giwa,Male,15,7,74,133,9,3,1,0,242,2022 Q2
203,2022,2,Giwa,Female,4,5,65,87,7,5,1,0,174,2022 Q2
204,2022,3,Giwa,Male,28,25,71,88,47,24,7,6,296,2022 Q3
205,2022,3,Giwa,Female,43,23,55,105,38,9,2,1,276,2022 Q3
206,2022,4,Giwa,Male,14,73,78,80,40,12,2,0,299,2022 Q4
207,2022,4,Giwa,Female,8,73,87,77,29,4,0,0,278,2022 Q4
208,2022,1,Igabi,Male,1,10,21,23,18,8,5,8,94,2022 Q1
209,2022,1,Igabi,Female,0,6,16,13,8,5,3,3,54,2022 Q1
